gbifID,latitude,longitude,scientificName
2976555904,51.324079,13.394789,Datura stramonium L.
2650027187,51.83386,12.073487,Potentilla reptans L.
3389825366,47.871616,7.903677,Achillea millefolium L.
2644622624,51.447693,7.259026,Lamium amplexicaule L.
2649847936,49.854404,8.000862,Jacobaea vulgaris Gaertn.
2646611106,49.441658,8.171054,Carpinus betulus L.
2975686074,48.001769,10.58322,Lysimachia punctata L.
2645541991,50.143811,8.397619,Glechoma hederacea L.
2975339194,50.886033,14.785383,Silene vulgaris (Moench) Garcke
3731334772,52.096323,6.91148,Prunus serotina Ehrh.
2242828031,52.446024,13.391763,Equisetum arvense L.
3469018797,51.381512,12.256315,Potentilla argentea L.
2839641728,49.810587,6.515865,Orchis purpurea Huds.
1677121785,51.907635,7.655223,Festuca rubra L.
2975191451,53.714315,10.140107,Stellaria holostea L.
3415748564,52.631643,13.486132,Rhamnus cathartica L.
2974997416,48.429489,9.156269,Stellaria neglecta Weihe
2976375624,52.49285,13.472694,Humulus lupulus L.
922796686,50.192123,8.558865,Persicaria lapathifolia (L.) Gray
3389348778,52.464657,12.038014,Hypericum perforatum L.
2646739783,51.320133,6.744408,Hedera helix L.
3455274182,47.719986,12.291785,Oenothera biennis L.
2975713474,50.753685,7.204518,Fagus sylvatica L.
2837231592,50.556171,6.276229,Melica nutans L.
3387853527,50.981518,6.584094,Capsella bursa-pastoris (L.) Medik.
2648120511,52.553721,13.393072,Ajuga reptans L.
2977998082,52.458319,13.885208,Rumex obtusifolius L.
2331499324,52.000244,9.856594,Vinca L.
2974911205,53.477636,10.188597,Glechoma hederacea L.
2646448211,47.605564,8.015931,Acer pseudoplatanus L.
2449387706,52.137531,12.584558,Prunella vulgaris L.
2978314105,49.70054,12.175482,Euonymus europaeus L.
2442833302,54.166405,12.070928,Lamium purpureum L.
3109070490,47.552407,11.412771,Phragmites australis (Cav.) Trin. ex Steud.
2331839365,50.757797,7.104511,Populus nigra L.
921405795,48.726559,9.831969,Daphne mezereum L.
2647015707,49.413058,8.445045,Senecio vulgaris L.
2645134480,51.393595,10.798493,Vinca major L.
2974989373,51.295257,6.852626,Sorbaria sorbifolia (L.) A.Braun
2330073056,52.927765,8.81832,Silene flos-cuculi (L.) Greuter & Burdet
3388341525,48.348186,9.307238,Helleborus foetidus L.
2978289011,49.120484,12.12888,Datura stramonium L.
2330421368,51.907635,7.596986,Stachys palustris L.
2836682179,51.048682,13.022618,Lysimachia vulgaris L.
2976735335,47.914346,11.431434,Claytonia perfoliata Donn ex Willd.
1835301261,49.83012,8.462477,Populus ×canadensis Moench
2646112956,52.985271,9.821336,Prunus laurocerasus L.
3388133507,49.207253,8.34565,Geranium molle L.
2976054219,52.085432,7.592244,Betula pendula Roth
2236911614,51.570667,12.723815,Erigeron canadensis L.
2648529366,48.539003,9.091726,Lamium purpureum L.
2645491477,52.821674,14.071225,Anchusa officinalis L.
2977522781,48.819523,11.452555,Rumex obtusifolius L.
2813933842,54.39188,10.189449,Atriplex prostrata DC.
1899886823,49.735466,8.611454,Portulaca oleracea L.
2644609689,50.696217,7.087762,Syringa vulgaris L.
2331344687,49.988541,8.852921,Urtica dioica L.
2252015765,50.477208,10.229756,Oxalis corniculata L.
1580112508,48.773998,10.290453,Heracleum sphondylium subsp. sphondylium
3388924843,52.002796,10.404449,Salvia pratensis L.
1579860238,48.178631,9.089753,Bellis perennis L.
3716127041,51.431842,6.945443,Stellaria holostea L.
922053347,53.548519,12.342796,Hieracium pilosella L.
2883011376,52.490187,13.257913,Fagus sylvatica L.
2977739679,51.248913,7.161045,Lactuca muralis (L.) Gaertn.
1676804610,54.584293,9.499475,Carex nigra (L.) Reichard
922416702,48.100899,8.945961,Muscari botryoides (L.) Mill.
3406348339,51.970528,7.640664,Hypericum perforatum L.
2644918016,51.447538,7.319617,Alliaria petiolata (M.Bieb.) Cavara & Grande
2646156666,49.498902,8.391802,Viburnum lantana L.
2648918634,53.27973,12.967002,Echium vulgare L.
2648045201,53.195376,13.960096,Fumaria officinalis L.
3330861447,51.958826,10.574607,Reynoutria sachalinensis (F.Schmidt) Nakai
3307147218,49.03952,8.527566,Campanula persicifolia L.
2644178444,51.238879,6.525029,Phytolacca americana L.
2330298629,49.10107,8.269701,Stellaria holostea L.
2646113565,51.374502,6.669237,Humulus lupulus L.
2978211101,50.860516,6.214551,Datura stramonium L.
3387868976,52.233921,8.013694,Euphorbia amygdaloides L.
2251795228,51.673672,11.206944,Geranium pratense L.
2645673082,54.282442,12.313457,Linaria vulgaris Mill.
3327943807,52.117156,8.348849,Urtica dioica L.
3721013542,54.302829,10.23084,Veronica chamaedrys L.
2644695438,54.318856,13.072919,Alliaria petiolata (M.Bieb.) Cavara & Grande
2643957127,47.877254,8.351505,Lonicera xylosteum L.
2844666206,51.516243,9.306428,Impatiens noli-tangere L.
921165470,50.960117,6.637386,Cornus mas L.
2975121355,51.937744,12.667747,Alliaria petiolata (M.Bieb.) Cavara & Grande
1038709215,53.627132,12.185726,Linaria vulgaris Mill.
1919663763,51.052807,13.819303,Arctium lappa L.
2976397112,52.371255,13.292326,Euonymus europaeus L.
3725459989,50.515556,6.990277,Trifolium campestre Schreb.
2329745924,51.223709,7.124232,Ranunculus aquatilis L.
2646088566,51.743987,14.347892,Verbascum thapsus L.
2840478296,50.145788,7.209754,Sedum album L.
2329848995,49.995159,8.856912,Rubus fruticosus L.
921918777,49.431854,8.55895,Geranium pratense L.
3760386122,49.285675,8.573869,Lamium purpureum L.
2976020684,51.141776,12.52118,Prunus spinosa L.
1038696403,48.100899,8.945961,Knautia arvensis (L.) Coult.
